"","Organism.name","Year","Source","Taxon","Assembly"
"pmm","Prochlorococcus marinus MED4","2003","GenBank","59919","GCA_000011465.1"
"pmt","Prochlorococcus marinus MIT 9313","2003","GenBank","74547","GCA_000011485.1"
"pmn","Prochlorococcus marinus NATL2A","2005","GenBank","59920","GCA_000012465.1"
"pmi","Prochlorococcus marinus MIT 9312","2005","GenBank","74546","GCA_000012645.1"
"pmb","Prochlorococcus marinus AS9601","2007","GenBank","146891","GCA_000015645.1"
"pmc","Prochlorococcus marinus MIT 9515","2007","GenBank","167542","GCA_000015665.1"
"pmf","Prochlorococcus marinus MIT 9303","2007","GenBank","59922","GCA_000015705.1"
"pmg","Prochlorococcus marinus MIT 9301","2007","GenBank","167546","GCA_000015965.1"
"pmh","Prochlorococcus marinus MIT 9215","2007","GenBank","93060","GCA_000018065.1"
"pmj","Prochlorococcus marinus MIT 9211","2007","GenBank","93059","GCA_000018585.1"
"pme","Prochlorococcus marinus NATL1A","2007","GenBank","167555","GCA_000015685.1"
"prc","Prochlorococcus sp. MIT 0604","2014","GenBank","1501268","GCA_000757845.1"
"prm","Prochlorococcus sp. MIT 0801","2014","GenBank","1501269","GCA_000757865.1"
"amr","Acaryochloris marina","2007","GenBank","329726","GCA_000018105.1"
"mar","Microcystis aeruginosa","2008","GenBank","449447","GCA_000010625.1"
"mpk","Microcystis panniformis","2015","GenBank","1638788","GCA_001264245.1"
"miq","Microcystis sp. MC19","2018","GenBank","1967666","GCA_003019735.1"
"can","Cyanobacterium aponinum","2012","GenBank","755178","GCA_000317675.1"
"csn","Cyanobacterium stanieri","2012","GenBank","292563","GCA_000317655.1"
"cyl","Cyanobacterium sp. HL-69","2018","GenBank","2054282","GCA_002813895.1"
"hao","Halothece sp. PCC 7418","2012","GenBank","65093","GCA_000317635.1"
"cyu","Candidatus Atelocyanobacterium thalassa","2010","GenBank","1453429","GCA_000025125.1"
"cwa","Crocosphaera watsonii","2017","GenBank","165597","GCA_000167195.1"
"glp","Gloeocapsa sp. PCC 7428","2013","GenBank","1173026","GCA_000317555.1"
"gen","Geminocystis sp. NIES-3709","2016","GenBank","1617448","GCA_001548115.1"
"gee","Geminocystis sp. NIES-3708","2016","GenBank","1615909","GCA_001548095.1"
"chon","Chondrocystis sp. NIES-4102","2017","GenBank","2005460","GCA_002368355.1"
"cyt","Cyanothece sp. ATCC 51142","2008","GenBank","43989","GCA_000017845.1"
"cyp","Cyanothece sp. PCC 8801","2008","GenBank","41431","GCA_000021805.1"
"cyc","Cyanothece sp. PCC 7424","2008","GenBank","65393","GCA_000021825.1"
"cyn","Cyanothece sp. PCC 7425","2009","GenBank","395961","GCA_000022045.1"
"cyh","Cyanothece sp. PCC 8802","2009","GenBank","395962","GCA_000024045.1"
"cyj","Cyanothece sp. PCC 7822","2010","GenBank","497965","GCA_000147335.1"
"ter","Trichodesmium erythraeum","2006","GenBank","203124","GCA_000014265.1"
"mic","Microcoleus sp. PCC 7113","2012","GenBank","1173027","GCA_000317515.1"
"arp","Arthrospira platensis","2013","GenBank","696747","GCA_000210375.1"
"gei","Geitlerinema sp. PCC 7407","2012","GenBank","1173025","GCA_000317045.1"
"oac","Oscillatoria acuminata","2012","GenBank","56110","GCA_000317105.1"
"oni","Oscillatoria nigro-viridis","2012","GenBank","179408","GCA_000317475.1"
"mpro","Moorea producens","2016","GenBank","1458985","GCA_001767235.1"
"cep","Crinalium epipsammum","2012","GenBank","1173022","GCA_000317495.1"
"gvi","Gloeobacter violaceus","2003","RefSeq","251221","GCF_000011385.1"
"glj","Gloeobacter kilaueensis","2013","GenBank","1183438","GCA_000484535.1"
"ana","Nostoc sp. PCC 7120","2001","GenBank","103690","GCA_000009705.1"
"npu","Nostoc punctiforme","2008","GenBank","63737","GCA_000020025.1"
"nos","Nostoc sp. PCC 7107","2012","GenBank","317936","GCA_000316625.1"
"nop","Nostoc sp. PCC 7524","2012","GenBank","28072","GCA_000316645.1"
"non","Nostoc sp. NIES-3756","2016","GenBank","1751286","GCA_001548375.1"
"nfl","Nostoc flagelliforme","2018","GenBank","2038116","GCA_002813575.1"
"noe","Nostoc sp. CENA543","2018","GenBank","1869241","GCA_002896875.1"
"ava","Trichormus variabilis","2005","GenBank","240292","GCA_000204075.1"
"naz","'Nostoc azollae' 0708","2010","GenBank","551115","GCA_000196515.1"
"anb","Anabaena sp. 90","2012","GenBank","46234","GCA_000312705.1"
"acy","Anabaena cylindrica","2013","GenBank","272123","GCA_000317695.1"
"awa","Anabaena sp. wa102","2015","GenBank","1647413","GCA_001277295.1"
"csg","Cylindrospermum stagnale","2013","GenBank","56107","GCA_000317535.1"
"calo","Calothrix sp. PCC 7507","2012","GenBank","99598","GCA_000316575.1"
"calt","Calothrix sp. PCC 6303","2012","GenBank","1170562","GCA_000317435.1"
"calh","Calothrix sp. 336/3","2015","GenBank","1337936","GCA_000734895.2"
"riv","Rivularia sp. PCC 7116","2012","GenBank","373994","GCA_000316665.1"
"fis","Fischerella sp. NIES-3754","2016","GenBank","1752063","GCA_001548455.1"
"ncn","Nostocales cyanobacterium HT-58-2","2017","GenBank","1940762","GCA_002163975.1"
"cthe","Chroococcidiopsis thermalis","2012","GenBank","251229","GCA_000317125.1"
"plp","Pleurocapsa sp. PCC 7327","2012","GenBank","118163","GCA_000317025.1"
"scs","Stanieria cyanosphaera","2013","GenBank","111780","GCA_000317575.1"
"stan","Stanieria sp. NIES-3757","2017","GenBank","1807358","GCA_002355455.1"
"ceo","Cyanobacterium endosymbiont of Epithemia turgida","2015","GenBank","1228987","GCA_000829235.1"
"mbf","Candidatus Melainabacteria bacterium MEL.A1","2016","GenBank","1899017","GCA_001765415.1"
"det","Dehalococcoides mccartyi 195","2005","GenBank","243164","GCA_000011905.1"
"deh","Dehalococcoides mccartyi CBDB1","2005","GenBank","255470","GCA_000009025.1"
"deb","Dehalococcoides mccartyi BAV1","2007","GenBank","216389","GCA_000016705.1"
"dev","Dehalococcoides mccartyi VS","2009","GenBank","311424","GCA_000025025.1"
"deg","Dehalococcoides mccartyi GT","2010","GenBank","633145","GCA_000025585.1"
"dmc","Dehalococcoides mccartyi BTF08","2013","GenBank","1193806","GCA_000341695.1"
"dmd","Dehalococcoides mccartyi DCMB5","2013","GenBank","1193807","GCA_000341655.1"
"dmg","Dehalococcoides mccartyi GY50","2013","GenBank","1388758","GCA_000499365.1"
"dmx","Dehalococcoides mccartyi CG1","2015","GenBank","1432059","GCA_000830925.1"
"dmy","Dehalococcoides mccartyi CG4","2015","GenBank","1432060","GCA_000830905.1"
"dmz","Dehalococcoides mccartyi CG5","2015","GenBank","1432061","GCA_000830885.1"
"duc","Dehalococcoides sp. UCH007","2015","GenBank","1522671","GCA_001010485.1"
"dly","Dehalogenimonas lykanthroporepellens","2010","GenBank","552811","GCA_000143165.1"
"dew","Dehalogenimonas sp. WBC-2","2015","GenBank","943347","GCA_001005265.1"
"dfo","Dehalogenimonas formicexedens","2017","GenBank","1839801","GCA_001953175.1"
"rrs","Roseiflexus sp. RS-1","2007","GenBank","357808","GCA_000016665.1"
"rca","Roseiflexus castenholzii","2007","GenBank","383372","GCA_000017805.1"
"cau","Chloroflexus aurantiacus","2007","RefSeq","324602","GCF_000018865.1"
"cag","Chloroflexus aggregans","2009","GenBank","326427","GCA_000021945.1"
"chl","Chloroflexus sp. Y-400-fl","2009","GenBank","480224","GCA_000022185.1"
"hau","Herpetosiphon aurantiacus","2007","GenBank","316274","GCA_000018565.1"
"tro","Thermomicrobium roseum","2009","GenBank","309801","GCA_000021685.1"
"sti","Sphaerobacter thermophilus","2009","GenBank","479434","GCA_000024985.1"
"atm","Anaerolinea thermophila","2011","GenBank","926569","GCA_000199675.1"
"abat","Brevefilum fermentans","2017","GenBank","1986204","GCA_900184705.1"
"abao","Anaerolineaceae bacterium oral taxon 439","2016","GenBank","1889813","GCA_001717545.1"
"cap","Caldilinea aerophila","2012","GenBank","926550","GCA_000281175.1"
"dra","Deinococcus radiodurans","1999","RefSeq","243230","GCF_000008565.1"
"dge","Deinococcus geothermalis","2006","GenBank","319795","GCA_000196275.1"
"ddr","Deinococcus deserti","2009","GenBank","546414","GCA_000020685.1"
"dmr","Deinococcus maricopensis","2011","GenBank","709986","GCA_000186385.1"
"dpt","Deinococcus proteolyticus","2011","GenBank","693977","GCA_000190555.1"
"dgo","Deinococcus gobiensis","2012","GenBank","745776","GCA_000252445.1"
"dpd","Deinococcus peraridilitoris","2012","GenBank","937777","GCA_000317835.1"
"dsw","Deinococcus swuensis","2015","GenBank","1182571","GCA_000800395.1"
"dch","Deinococcus soli","2016","GenBank","1309411","GCA_001007995.1"
"dab","Deinococcus actinosclerus","2016","GenBank","1768108","GCA_001507665.1"
"dpu","Deinococcus puniceus","2016","GenBank","1182568","GCA_001644565.1"
"tra","Truepera radiovictrix","2010","GenBank","649638","GCA_000092425.1"
"tth","Thermus thermophilus HB27","2004","GenBank","262724","GCA_000008125.1"
"ttj","Thermus thermophilus HB8","2004","RefSeq","300852","GCF_000091545.1"
"tts","Thermus thermophilus SG0.5JP17-16","2012","GenBank","762633","GCA_000214845.1"
"ttl","Thermus thermophilus JL-18","2012","GenBank","798128","GCA_000258245.1"
"tsc","Thermus scotoductus","2011","GenBank","743525","GCA_000187005.1"
"thc","Thermus sp. CCB_US3_UF1","2012","GenBank","1111069","GCA_000236585.1"
"tos","Thermus oshimai","2012","GenBank","751945","GCA_000309885.1"
"taq","Thermus aquaticus","2016","GenBank","498848","GCA_001399775.1"
"tpar","Thermus parvatiensis","2016","GenBank","456163","GCA_001535545.1"
"tbc","Thermus brockianus","2017","GenBank","56956","GCA_001880325.1"
"mrb","Meiothermus ruber DSM 1279","2010","GenBank","504728","GCA_000024425.1"
"mre","Meiothermus ruber DSM 1279","2013","GenBank","504728","GCA_000376665.1"
"msv","Meiothermus silvanus","2010","GenBank","526227","GCA_000092125.1"
"opr","Oceanithermus profundus","2010","GenBank","670487","GCA_000183745.1"
"mhd","Marinithermus hydrothermalis","2011","GenBank","869210","GCA_000195335.1"
"ccz","Chthonomonas calidirosea","2013","GenBank","1303518","GCA_000427095.1"
"fgi","Fimbriimonas ginsengisoli","2014","GenBank","661478","GCA_000724625.1"
"ttr","Thermobaculum terrenum","2009","GenBank","525904","GCA_000025005.1"
"ctr","Chlamydia trachomatis D/UW-3/CX","1998","RefSeq","272561","GCF_000008725.1"
"ctd","Chlamydia trachomatis D-EC","2012","GenBank","759363","GCA_000092485.1"
"ctf","Chlamydia trachomatis D-LC","2012","GenBank","759364","GCA_000093005.1"
"ctrd","Chlamydia trachomatis D/SotonD1","2013","GenBank","1071756","GCA_000318585.1"
"ctro","Chlamydia trachomatis D/SotonD5","2013","GenBank","1071757","GCA_000318605.1"
"ctrt","Chlamydia trachomatis D/SotonD6","2013","GenBank","1071758","GCA_000318625.1"
"cta","Chlamydia trachomatis A/HAR-13","2005","GenBank","315277","GCA_000012125.1"
"cty","Chlamydia trachomatis A2497","2012","GenBank","580047","GCA_000284475.1"
"cra","Chlamydia trachomatis A2497","2012","GenBank","580047","GCA_000226605.1"
"ctrq","Chlamydia trachomatis A/363","2013","GenBank","1071753","GCA_000318525.2"
"ctrx","Chlamydia trachomatis A/5291","2013","GenBank","1071754","GCA_000318545.1"
"ctrz","Chlamydia trachomatis A/7249","2013","GenBank","1071755","GCA_000318565.1"
"ctrp","Chlamydia trachomatis L1/1322/p2","2013","GenBank","1075087","GCA_000319165.1"
"ctlj","Chlamydia trachomatis L1/115","2013","GenBank","1071770","GCA_000318845.1"
"ctlx","Chlamydia trachomatis L1/224","2013","GenBank","1071771","GCA_000318865.1"
"ctll","Chlamydia trachomatis L1/440/LN","2013","GenBank","1071769","GCA_000318825.1"
"ctb","Chlamydia trachomatis L2/434/Bu","2008","RefSeq","471472","GCF_000068585.1"
"ctrr","Chlamydia trachomatis L2/25667R","2013","GenBank","1071772","GCA_000318885.1"
"ctlf","Chlamydia trachomatis L2/434/Bu(f)","2013","GenBank","1262673","GCA_000364785.1"
"ctli","Chlamydia trachomatis L2/434/Bu(i)","2013","GenBank","1263406","GCA_000364765.1"
"ctl","Chlamydia trachomatis L2b/UCH-1/proctitis","2008","GenBank","471473","GCA_000068525.2"
"ctru","Chlamydia trachomatis L2b/UCH-2","2013","GenBank","1071774","GCA_000318925.1"
"ctrl","Chlamydia trachomatis L2b/LST","2013","GenBank","1071775","GCA_000318945.1"
"ctrv","Chlamydia trachomatis L2b/CV204","2013","GenBank","1071776","GCA_000318965.1"
"ctrm","Chlamydia trachomatis L2b/Ams1","2013","GenBank","1071778","GCA_000319005.1"
"ctla","Chlamydia trachomatis L2b/Ams2","2013","GenBank","1071779","GCA_000319025.1"
"ctlm","Chlamydia trachomatis L2b/Ams3","2013","GenBank","1071780","GCA_000319045.1"
"ctls","Chlamydia trachomatis L2b/Ams4","2013","GenBank","1071781","GCA_000319065.1"
"ctlz","Chlamydia trachomatis L2b/Ams5","2013","GenBank","1071782","GCA_000319085.1"
"ctlc","Chlamydia trachomatis L2b/Canada1","2013","GenBank","1075085","GCA_000319125.1"
"ctln","Chlamydia trachomatis L2b/Canada2","2013","GenBank","1075086","GCA_000319145.1"
"ctlb","Chlamydia trachomatis L2b/795","2013","GenBank","1071777","GCA_000318985.1"
"ctlq","Chlamydia trachomatis L2b/8200/07","2013","GenBank","1071773","GCA_000318905.1"
"cto","Chlamydia trachomatis L2c","2011","GenBank","887712","GCA_000220105.1"
"ctrn","Chlamydia trachomatis L3/404/LN","2013","GenBank","1071783","GCA_000319105.1"
"ctj","Chlamydia trachomatis B/Jali20/OT","2009","GenBank","580049","GCA_000026925.1"
"ctz","Chlamydia trachomatis B/TZ1A828/OT","2010","GenBank","672161","GCA_000026905.1"
"ctg","Chlamydia trachomatis E/11023","2012","GenBank","707183","GCA_000092745.1"
"ctk","Chlamydia trachomatis E/150","2012","GenBank","707184","GCA_000092665.1"
"csw","Chlamydia trachomatis Sweden2","2012","GenBank","634464","GCA_000210495.1"
"ces","Chlamydia trachomatis E/SW3","2012","GenBank","1071759","GCA_000304495.1"
"ctrb","Chlamydia trachomatis E/Bour","2013","GenBank","596777","GCA_000318645.1"
"ctre","Chlamydia trachomatis E/SotonE4","2013","GenBank","1071760","GCA_000318665.1"
"ctrs","Chlamydia trachomatis E/SotonE8","2013","GenBank","1071761","GCA_000318685.1"
"ctec","Chlamydia trachomatis E/C599","2014","GenBank","1100832","GCA_000969785.1"
"cfs","Chlamydia trachomatis F/SW4","2012","GenBank","1071762","GCA_000304515.1"
"cfw","Chlamydia trachomatis F/SW5","2012","GenBank","1071763","GCA_000304535.1"
"ctfw","Chlamydia trachomatis F/SWFPminus","2014","GenBank","1100833","GCA_000969805.1"
"ctrf","Chlamydia trachomatis F/SotonF3","2013","GenBank","1071764","GCA_000318705.1"
"ctch","Chlamydia trachomatis F/11-96","2013","GenBank","1340853","GCA_000590635.1"
"ctn","Chlamydia trachomatis G/11074","2012","GenBank","707187","GCA_000092725.1"
"ctq","Chlamydia trachomatis G/11222","2012","GenBank","707186","GCA_000092705.1"
"ctv","Chlamydia trachomatis G/9301","2012","GenBank","718219","GCA_000092805.1"
"ctw","Chlamydia trachomatis G/9768","2012","GenBank","707185","GCA_000092685.1"
"ctrg","Chlamydia trachomatis G/SotonG1","2013","GenBank","1071765","GCA_000318745.1"
"ctri","Chlamydia trachomatis IU824","2013","GenBank","1260222","GCA_000348845.1"
"ctra","Chlamydia trachomatis IU888","2013","GenBank","1260223","GCA_000348825.1"
"ctrh","Chlamydia trachomatis Ia/SotonIa1","2013","GenBank","1071766","GCA_000318765.1"
"ctrj","Chlamydia trachomatis Ia/SotonIa3","2013","GenBank","1071767","GCA_000318785.1"
"ctrk","Chlamydia trachomatis K/SotonK1","2013","GenBank","1071768","GCA_000318805.1"
"ctjt","Chlamydia trachomatis J/6276tet1","2013","GenBank","907272","GCA_000441775.1"
"ctcf","Chlamydia trachomatis RC-F/69","2013","GenBank","907263","GCA_000441585.1"
"ctfs","Chlamydia trachomatis RC-F(s)/342","2013","GenBank","907269","GCA_000441715.1"
"cthf","Chlamydia trachomatis RC-F(s)/852","2013","GenBank","907265","GCA_000441635.1"
"ctcj","Chlamydia trachomatis RC-J/943","2013","GenBank","907266","GCA_000441655.1"
"cthj","Chlamydia trachomatis RC-J/953","2013","GenBank","907267","GCA_000441675.1"
"ctmj","Chlamydia trachomatis RC-J/966","2013","GenBank","907271","GCA_000441755.1"
"cttj","Chlamydia trachomatis RC-J/971","2013","GenBank","1007871","GCA_000441795.1"
"ctjs","Chlamydia trachomatis RC-J(s)/122","2013","GenBank","907270","GCA_000441735.1"
"ctrc","Chlamydia trachomatis RC-L2/55","2013","GenBank","1007870","GCA_000441815.1"
"ctrw","Chlamydia trachomatis RC-L2(s)/3","2013","GenBank","907268","GCA_000441695.1"
"ctry","Chlamydia trachomatis RC-L2(s)/46","2013","GenBank","907264","GCA_000441615.1"
"ctct","Chlamydia trachomatis C/TW-3","2013","GenBank","1431547","GCA_000507225.1"
"cmu","Chlamydia muridarum Nigg","2000","GenBank","243161","GCA_000006685.1"
"cmur","Chlamydia muridarum Nigg CM972","2015","GenBank","1434773","GCA_000830965.1"
"cmn","Chlamydia muridarum Nigg 2 MCR","2014","GenBank","1460373","GCA_000709455.1"
"cmm","Chlamydia muridarum Nigg3 clone G0.1.1","2014","GenBank","83560","GCA_000767405.1"
"cmg","Chlamydia muridarum Nigg3 clone G28.38.1","2014","GenBank","83560","GCA_000767445.1"
"cmx","Chlamydia muridarum Nigg3","2014","GenBank","83560","GCA_000772145.1"
"cmz","Chlamydia muridarum Nigg3 CMUT3-5","2015","GenBank","1434770","GCA_000830945.1"
"cpn","Chlamydia pneumoniae CWL029","1999","RefSeq","115713","GCF_000008745.1"
"cpa","Chlamydia pneumoniae AR39","2000","GenBank","115711","GCA_000091085.2"
"cpj","Chlamydia pneumoniae J138","2000","GenBank","138677","GCA_000011165.1"
"cpt","Chlamydia pneumoniae TW183","2003","GenBank","182082","GCA_000007205.1"
"clp","Chlamydophila pneumoniae LPCoLN","2012","GenBank","406984","GCA_000024145.1"
"cpm","Chlamydia pecorum E58","2011","GenBank","331635","GCA_000204135.1"
"cpec","Chlamydia pecorum P787","2013","GenBank","1234369","GCA_000470825.1"
"cpeo","Chlamydia pecorum PV3056/3","2013","GenBank","1234367","GCA_000470765.1"
"cper","Chlamydia pecorum W73","2013","GenBank","1234368","GCA_000470805.1"
"chp","Chlamydia psittaci 6BC","2011","GenBank","331636","GCA_000191925.1"
"chb","Chlamydia psittaci 6BC","2012","GenBank","331636","GCA_000204255.1"
"chs","Chlamydia psittaci 01DC11","2012","GenBank","1112252","GCA_000270405.1"
"chi","Chlamydia psittaci 02DC15","2012","GenBank","1112254","GCA_000270425.1"
"cht","Chlamydia psittaci 08DC60","2012","GenBank","1112267","GCA_000270445.1"
"chc","Chlamydia psittaci C19/98","2012","GenBank","1112250","GCA_000270385.1"
"chr","Chlamydia psittaci RD1","2012","GenBank","929557","GCA_000211155.1"
"cpsc","Chlamydia psittaci CP3","2012","GenBank","1050219","GCA_000298535.2"
"cpsn","Chlamydia psittaci NJ1","2012","GenBank","1050221","GCA_000298555.2"
"cpsb","Chlamydia psittaci 84/55","2012","GenBank","1218176","GCA_000298375.2"
"cpsg","Chlamydia psittaci GR9","2012","GenBank","1218353","GCA_000298415.1"
"cpsm","Chlamydia psittaci M56","2012","GenBank","1218357","GCA_000298495.2"
"cpsi","Chlamydia psittaci MN","2012","GenBank","1218354","GCA_000298435.2"
"cpsv","Chlamydia psittaci VS225","2012","GenBank","1218355","GCA_000298455.2"
"cpsw","Chlamydia psittaci WC","2012","GenBank","1218358","GCA_000298515.2"
"cpst","Chlamydia psittaci WS/RT/E30","2012","GenBank","1218356","GCA_000298475.2"
"cpsd","Chlamydia psittaci 01DC12","2012","GenBank","1221877","GCA_000317995.1"
"cpsa","Chlamydia psittaci Mat116","2013","GenBank","500464","GCA_000338695.1"
"cav","Chlamydia avium","2014","GenBank","1229831","GCA_000583875.1"
"cca","Chlamydophila caviae","2003","GenBank","227941","GCA_000007605.1"
"cab","Chlamydia abortus S26/3","2005","GenBank","218497","GCA_000026025.1"
"cabo","Chlamydia abortus","2015","GenBank","83555","GCA_000952935.1"
"cfe","Chlamydia felis Fe/C-56","2006","GenBank","264202","GCA_000009945.1"
"cgz","Chlamydia gallinacea","2016","GenBank","1143323","GCA_000471025.2"
"pcu","Candidatus Protochlamydia amoebophila","2004","GenBank","264201","GCA_000011565.1"
"pnl","Protochlamydia naegleriophila","2016","GenBank","389348","GCA_001499655.1"
"puv","Parachlamydia acanthamoebae","2011","GenBank","765952","GCA_000253035.1"
"wch","Waddlia chondrophila","2010","GenBank","716544","GCA_000092785.1"
"sng","Simkania negevensis","2011","GenBank","331113","GCA_000237205.1"
"ote","Opitutus terrae","2008","GenBank","452637","GCA_000019965.1"
"obg","Lacunisphaera limnophila","2016","GenBank","1838286","GCA_001746835.1"
"obt","Opitutaceae bacterium TAV5","2015","GenBank","794903","GCA_000242935.3"
"caa","Coraliomargarita akajimensis","2010","GenBank","583355","GCA_000025905.1"
"amu","Akkermansia muciniphila","2008","GenBank","349741","GCA_000020225.1"
"agl","Akkermansia glycaniphila","2016","GenBank","1679444","GCA_900097105.1"
"xii","Candidatus Xiphinematobacter sp. Idaho Grape","2016","GenBank","1704307","GCA_001318295.1"
"min","Methylacidiphilum infernorum","2008","GenBank","481448","GCA_000019665.1"
"vba","Verrucomicrobia bacterium IMCC26134","2015","GenBank","1637999","GCA_000972765.1"
"rba","Rhodopirellula baltica","2003","RefSeq","243090","GCF_000196115.1"
"psl","Pirellula staleyi","2010","GenBank","530564","GCA_000025185.1"
"pir","Pirellula sp. SH-Sr6A","2016","GenBank","1632865","GCA_001610875.1"
"plm","Planctopirus limnophila","2010","GenBank","521674","GCA_000092105.1"
"pbs","Rubinisphaera brasiliensis","2011","GenBank","756272","GCA_000165715.3"
"pls","Planctomyces sp. SH-PL14","2016","GenBank","1632864","GCA_001610835.1"
"plh","Planctomyces sp. SH-PL62","2016","GenBank","1636152","GCA_001610895.1"
"fmr","Fuerstia marisgermanicae","2017","GenBank","1891926","GCA_001983935.1"
"ttf","Thermogutta terrifontis","2017","GenBank","1331910","GCA_002277955.1"
"ges","Gemmata sp. SH-PL17","2016","GenBank","1630693","GCA_001610855.1"
"ipa","Isosphaera pallida","2011","GenBank","575540","GCA_000186345.1"
"saci","Singulisphaera acidiphila","2012","GenBank","886293","GCA_000242455.3"
"pbor","Paludisphaera borealis","2017","GenBank","1387353","GCA_001956985.1"
"phm","Phycisphaera mikurensis","2012","GenBank","1142394","GCA_000284115.1"
"pbu","Phycisphaerae bacterium L21-RPul-D3","2017","GenBank","1940790","GCA_001997385.1"
"pbas","Phycisphaerae bacterium SM-Chi-D1","2017","GenBank","1851148","GCA_001999965.1"
"vbl","Kiritimatiella glycovorans","2016","GenBank","1307763","GCA_001017655.1"
"bbu","Borrelia burgdorferi B31","1997","RefSeq","224326","GCF_000008685.2"
"bbz","Borrelia burgdorferi ZS7","2008","GenBank","445985","GCA_000021405.1"
"bbn","Borrelia burgdorferi N40","2012","GenBank","521007","GCA_000166635.2"
"bbj","Borrelia burgdorferi JD1","2012","GenBank","521008","GCA_000166655.2"
"bbur","Borrelia burgdorferi CA382","2013","GenBank","1328311","GCA_000444465.1"
"bga","Borreliella bavariensis PBi","2004","GenBank","290434","GCA_000196215.1"
"bgb","Borrelia garinii BgVir","2012","GenBank","1081646","GCA_000239475.1"
"bgn","Borrelia garinii NMJW1","2012","GenBank","1234596","GCA_000300045.1"
"bgs","Borrelia garinii SZ","2014","GenBank","1421551","GCA_000691545.1"
"bgc","Borreliella garinii CIP 103362","2017","GenBank","29519","GCA_001922545.1"
"baf","Borrelia afzelii (FLI)","2006","GenBank","390236","GCA_000165595.2"
"bafz","Borrelia afzelii (Maryland)","2012","GenBank","390236","GCA_000222835.1"
"bafh","Borrelia afzelii HLJ01","2012","GenBank","1239934","GCA_000304735.1"
"baft","Borrelia afzelii Tom3107","2014","GenBank","1398490","GCA_000741005.1"
"bafe","Borrelia afzelii K78","2015","GenBank","411555","GCA_000962775.1"
"bbs","Borreliella bissettii","2011","GenBank","521010","GCA_000222305.1"
"bvt","Borreliella valaisiana","2014","GenBank","1398491","GCA_000739475.1"
"bchi","Borreliella chilensis","2015","GenBank","1245910","GCA_000808095.1"
"bmay","Borrelia mayonii","2017","GenBank","1674146","GCA_001936295.1"
"btu","Borrelia turicatae","2008","GenBank","314724","GCA_000012085.2"
"bhr","Borrelia hermsii DAH","2008","GenBank","314723","GCA_000012065.2"
"bhi","Borrelia hermsii CC1","2015","GenBank","1329908","GCA_000956315.1"
"bdu","Borrelia duttonii","2008","GenBank","412419","GCA_000019685.1"
"bre","Borrelia recurrentis","2008","GenBank","412418","GCA_000019705.1"
"bcw","Borrelia crocidurae","2012","GenBank","1155096","GCA_000259345.1"
"bmo","Borrelia miyamotoi LB-2001","2013","GenBank","1302858","GCA_000445425.4"
"bmiy","Borrelia miyamotoi CT14D4","2015","GenBank","47466","GCA_000807295.1"
"bpak","Borrelia parkeri","2015","GenBank","1435045","GCA_000512145.2"
"bane","Borrelia anserina","2017","GenBank","1365188","GCA_001936255.1"
"tpa","Treponema pallidum subsp. pallidum Nichols","1998","GenBank","243276","GCA_000008605.1"
"tpw","Treponema pallidum subsp. pallidum Nichols","2013","GenBank","243276","GCA_000410535.2"
"tpp","Treponema pallidum subsp. pallidum SS14","2008","GenBank","455434","GCA_000017825.1"
"tpu","Treponema pallidum subsp. pallidum DAL-1","2012","GenBank","491081","GCA_000246815.1"
"tph","Treponema pallidum subsp. pallidum Chicago","2012","GenBank","666714","GCA_000024485.1"
"tpo","Treponema pallidum subsp. pallidum Mexico A","2012","GenBank","686990","GCA_000304295.1"
"tpas","Treponema pallidum subsp. pallidum Sea 81-4","2014","GenBank","1095955","GCA_000604125.1"
"tpc","Treponema pallidum subsp. pertenue CDC2","2012","GenBank","491079","GCA_000246775.1"
"tpg","Treponema pallidum subsp. pertenue Gauthier","2012","GenBank","491080","GCA_000246795.1"
"tpm","Treponema pallidum subsp. pertenue SamoaD","2012","GenBank","491078","GCA_000246755.1"
"tpb","Treponema pallidum Fribourg-Blanc","2013","GenBank","1155775","GCA_000387485.1"
"tde","Treponema denticola","2004","RefSeq","243275","GCF_000008185.1"
"tsu","Treponema succinifaciens","2011","GenBank","869209","GCA_000195275.1"
"tbe","Treponema brennaborense","2011","GenBank","906968","GCA_000212415.1"
"taz","Treponema azotonutricium","2011","GenBank","545695","GCA_000214355.1"
"tpi","Treponema primitia","2011","GenBank","545694","GCA_000214375.1"
"tpl","Treponema paraluiscuniculi","2011","GenBank","545776","GCA_000217655.1"
"tped","Treponema pedis","2013","GenBank","1291379","GCA_000447675.1"
"scd","Treponema caldarium","2011","GenBank","744872","GCA_000219725.1"
"tpk","Treponema putidum","2014","GenBank","221027","GCA_000755145.1"
"trm","Treponema sp. OMZ 838","2014","GenBank","1539298","GCA_000775995.1"
"ssm","Sediminispirochaeta smaragdinae","2010","GenBank","573413","GCA_000143985.1"
"sta","Spirochaeta thermophila DSM 6192","2010","GenBank","665571","GCA_000147075.1"
"stq","Spirochaeta thermophila DSM 6578","2012","GenBank","869211","GCA_000184345.2"
"sfc","Spirochaeta africana","2012","GenBank","889378","GCA_000242595.3"
"sbu","Sphaerochaeta globosa","2011","GenBank","158189","GCA_000190435.1"
"scc","Sphaerochaeta coccoides","2011","GenBank","760011","GCA_000208385.1"
"sgp","Sphaerochaeta pleomorpha","2012","GenBank","158190","GCA_000236685.1"
"slr","Salinispira pacifica","2014","GenBank","1307761","GCA_000507245.1"
